Attackers,Defenders,Attacker Leader,Defender Leader,Stronghold,Average Attacker Kills,Average Attacker Wins,Average Defender Kills,Average Defender Wins,Test Run Time
1,1,True,True,False,0.413,0.413,0.586,0.586,325ms
2,1,True,True,False,0.575,0.575,0.424,0.424,325ms
3,1,True,True,False,0.675,0.675,0.324,0.324,333ms
1,2,True,True,False,0.258,0.0  ,0.741,1.0  ,324ms
2,2,True,True,False,0.778,0.224,1.222,0.775,332ms
3,2,True,True,False,1.083,0.368,0.917,0.632,340ms
1,1,False,True,False,0.278,0.278,0.722,0.722,325ms
2,1,False,True,False,0.414,0.414,0.585,0.585,337ms
3,1,False,True,False,0.486,0.486,0.513,0.513,332ms
1,2,False,True,False,0.139,0.0  ,0.86 ,1.0  ,340ms
2,2,False,True,False,0.627,0.15 ,1.372,0.849,320ms
3,2,False,True,False,0.891,0.235,1.109,0.764,268ms
1,1,True,False,False,0.579,0.579,0.42 ,0.42 ,271ms
2,1,True,False,False,0.748,0.748,0.251,0.251,253ms
3,1,True,False,False,0.827,0.827,0.172,0.172,262ms
1,2,True,False,False,0.414,0.0  ,0.585,1.0  ,264ms
2,2,True,False,False,0.998,0.308,1.002,0.691,356ms
3,2,True,False,False,1.335,0.516,0.664,0.483,271ms
1,1,False,False,False,0.413,0.413,0.586,0.586,253ms
2,1,False,False,False,0.566,0.566,0.433,0.433,250ms
3,1,False,False,False,0.66 ,0.66 ,0.339,0.339,271ms
1,2,False,False,False,0.26 ,0.0  ,0.739,1.0  ,253ms
2,2,False,False,False,0.771,0.22 ,1.229,0.779,289ms
3,2,False,False,False,1.069,0.367,0.93 ,0.632,333ms
1,1,True,True,True,0.275,0.275,0.725,0.725,336ms
2,1,True,True,True,0.42 ,0.42 ,0.579,0.579,319ms
3,1,True,True,True,0.489,0.489,0.51 ,0.51 ,316ms
1,2,True,True,True,0.126,0.0  ,0.873,1.0  ,296ms
2,2,True,True,True,0.626,0.157,1.373,0.842,269ms
3,2,True,True,True,0.885,0.245,1.115,0.754,271ms
1,1,False,True,True,0.171,0.171,0.828,0.828,258ms
2,1,False,True,True,0.263,0.263,0.737,0.737,277ms
3,1,False,True,True,0.329,0.329,0.67 ,0.67 ,301ms
1,2,False,True,True,0.065,0.0  ,0.934,1.0  ,414ms
2,2,False,True,True,0.485,0.073,1.514,0.926,324ms
3,2,False,True,True,0.748,0.126,1.251,0.873,327ms
1,1,True,False,True,0.412,0.412,0.587,0.587,321ms
2,1,True,False,True,0.575,0.575,0.424,0.424,327ms
3,1,True,False,True,0.664,0.664,0.336,0.336,323ms
1,2,True,False,True,0.255,0.0  ,0.744,1.0  ,318ms
2,2,True,False,True,0.789,0.227,1.21 ,0.772,344ms
3,2,True,False,True,1.084,0.369,0.916,0.63 ,298ms
1,1,False,False,True,0.262,0.262,0.737,0.737,323ms
2,1,False,False,True,0.41 ,0.41 ,0.59 ,0.59 ,326ms
3,1,False,False,True,0.497,0.497,0.502,0.502,332ms
1,2,False,False,True,0.139,0.0  ,0.86 ,1.0  ,315ms
2,2,False,False,True,0.614,0.148,1.385,0.851,338ms
3,2,False,False,True,0.894,0.24 ,1.105,0.759,292ms
