Attackers,Defenders,Attacker Leader,Defender Leader,Stronghold,Average Attacker Kills,Average Attacker Wins,Average Defender Kills,Average Defender Wins,Test Run Time
1,1,True,True,False,0.354,0.354,0.646,0.646,26ms
2,1,True,True,False,0.568,0.568,0.432,0.432,31ms
3,1,True,True,False,0.672,0.672,0.328,0.328,30ms
1,2,True,True,False,0.268,0.0  ,0.732,1.0  ,30ms
2,2,True,True,False,0.782,0.246,1.218,0.754,41ms
3,2,True,True,False,1.106,0.39 ,0.894,0.61 ,108ms
1,1,False,True,False,0.282,0.282,0.718,0.718,46ms
2,1,False,True,False,0.422,0.422,0.578,0.578,20ms
3,1,False,True,False,0.432,0.432,0.568,0.568,26ms
1,2,False,True,False,0.134,0.0  ,0.866,1.0  ,25ms
2,2,False,True,False,0.61 ,0.144,1.39 ,0.856,24ms
3,2,False,True,False,0.938,0.264,1.062,0.736,28ms
1,1,True,False,False,0.564,0.564,0.436,0.436,28ms
2,1,True,False,False,0.76 ,0.76 ,0.24 ,0.24 ,23ms
3,1,True,False,False,0.81 ,0.81 ,0.19 ,0.19 ,27ms
1,2,True,False,False,0.394,0.0  ,0.606,1.0  ,27ms
2,2,True,False,False,0.99 ,0.3  ,1.01 ,0.7  ,25ms
3,2,True,False,False,1.358,0.522,0.642,0.478,24ms
1,1,False,False,False,0.392,0.392,0.608,0.608,26ms
2,1,False,False,False,0.558,0.558,0.442,0.442,22ms
3,1,False,False,False,0.598,0.598,0.402,0.402,27ms
1,2,False,False,False,0.264,0.0  ,0.736,1.0  ,27ms
2,2,False,False,False,0.796,0.242,1.204,0.758,29ms
3,2,False,False,False,1.024,0.324,0.976,0.676,22ms
1,1,True,True,True,0.266,0.266,0.734,0.734,27ms
2,1,True,True,True,0.424,0.424,0.576,0.576,28ms
3,1,True,True,True,0.526,0.526,0.474,0.474,22ms
1,2,True,True,True,0.134,0.0  ,0.866,1.0  ,26ms
2,2,True,True,True,0.6  ,0.144,1.4  ,0.856,27ms
3,2,True,True,True,0.888,0.246,1.112,0.754,23ms
1,1,False,True,True,0.178,0.178,0.822,0.822,28ms
2,1,False,True,True,0.264,0.264,0.736,0.736,28ms
3,1,False,True,True,0.364,0.364,0.636,0.636,28ms
1,2,False,True,True,0.062,0.0  ,0.938,1.0  ,27ms
2,2,False,True,True,0.47 ,0.072,1.53 ,0.928,24ms
3,2,False,True,True,0.752,0.136,1.248,0.864,29ms
1,1,True,False,True,0.418,0.418,0.582,0.582,26ms
2,1,True,False,True,0.588,0.588,0.412,0.412,21ms
3,1,True,False,True,0.68 ,0.68 ,0.32 ,0.32 ,31ms
1,2,True,False,True,0.274,0.0  ,0.726,1.0  ,27ms
2,2,True,False,True,0.814,0.248,1.186,0.752,30ms
3,2,True,False,True,1.022,0.338,0.978,0.662,29ms
1,1,False,False,True,0.286,0.286,0.714,0.714,27ms
2,1,False,False,True,0.42 ,0.42 ,0.58 ,0.58 ,23ms
3,1,False,False,True,0.492,0.492,0.508,0.508,29ms
1,2,False,False,True,0.128,0.0  ,0.872,1.0  ,33ms
2,2,False,False,True,0.62 ,0.158,1.38 ,0.842,30ms
3,2,False,False,True,0.918,0.256,1.082,0.744,29ms
