Attackers,Defenders,Attacker Leader,Defender Leader,Stronghold,Average Attacker Kills,Average Attacker Wins,Average Defender Kills,Average Defender Wins,Test Run Time
1,1,True,True,False,0.416,0.416,0.583,0.583,23532ms
2,1,True,True,False,0.578,0.578,0.421,0.421,23206ms
3,1,True,True,False,0.658,0.658,0.341,0.341,23002ms
1,2,True,True,False,0.255,0.0  ,0.744,1.0  ,22918ms
2,2,True,True,False,0.78 ,0.228,1.219,0.771,23236ms
3,2,True,True,False,1.08 ,0.372,0.919,0.627,23516ms
1,1,False,True,False,0.277,0.277,0.722,0.722,21890ms
2,1,False,True,False,0.417,0.417,0.582,0.582,22345ms
3,1,False,True,False,0.494,0.494,0.505,0.505,22845ms
1,2,False,True,False,0.138,0.0  ,0.861,1.0  ,22547ms
2,2,False,True,False,0.613,0.146,1.386,0.853,22750ms
3,2,False,True,False,0.885,0.238,1.114,0.761,23702ms
1,1,True,False,False,0.583,0.583,0.416,0.416,23246ms
2,1,True,False,False,0.745,0.745,0.254,0.254,22617ms
3,1,True,False,False,0.825,0.825,0.174,0.174,22626ms
1,2,True,False,False,0.422,0.0  ,0.577,1.0  ,22143ms
2,2,True,False,False,0.998,0.311,1.001,0.688,24284ms
3,2,True,False,False,1.328,0.511,0.671,0.488,27712ms
1,1,False,False,False,0.415,0.415,0.584,0.584,25272ms
2,1,False,False,False,0.578,0.578,0.421,0.421,24513ms
3,1,False,False,False,0.659,0.659,0.34 ,0.34 ,24637ms
1,2,False,False,False,0.254,0.0  ,0.745,1.0  ,24939ms
2,2,False,False,False,0.781,0.228,1.218,0.771,25468ms
3,2,False,False,False,1.078,0.371,0.921,0.628,26720ms
1,1,True,True,True,0.278,0.278,0.721,0.721,24691ms
2,1,True,True,True,0.416,0.416,0.583,0.583,24500ms
3,1,True,True,True,0.493,0.493,0.506,0.506,25857ms
1,2,True,True,True,0.139,0.0  ,0.86 ,1.0  ,25545ms
2,2,True,True,True,0.613,0.146,1.386,0.853,28192ms
3,2,True,True,True,0.886,0.238,1.113,0.761,25069ms
1,1,False,True,True,0.167,0.167,0.832,0.832,23419ms
2,1,False,True,True,0.268,0.268,0.731,0.731,21523ms
3,1,False,True,True,0.332,0.332,0.667,0.667,21258ms
1,2,False,True,True,0.064,0.0  ,0.935,1.0  ,22401ms
2,2,False,True,True,0.499,0.078,1.5  ,0.921,21195ms
3,2,False,True,True,0.749,0.128,1.25 ,0.871,21028ms
1,1,True,False,True,0.416,0.416,0.583,0.583,19832ms
2,1,True,False,True,0.579,0.579,0.42 ,0.42 ,20498ms
3,1,True,False,True,0.66 ,0.66 ,0.339,0.339,22024ms
1,2,True,False,True,0.255,0.0  ,0.744,1.0  ,24106ms
2,2,True,False,True,0.777,0.226,1.222,0.773,23577ms
3,2,True,False,True,1.078,0.37 ,0.921,0.629,23632ms
1,1,False,False,True,0.277,0.277,0.722,0.722,22617ms
2,1,False,False,True,0.416,0.416,0.583,0.583,22815ms
3,1,False,False,True,0.493,0.493,0.506,0.506,23213ms
1,2,False,False,True,0.139,0.0  ,0.86 ,1.0  ,23016ms
2,2,False,False,True,0.612,0.146,1.387,0.853,23132ms
3,2,False,False,True,0.886,0.239,1.113,0.76 ,23582ms
