Attackers,Defenders,Attacker Leader,Defender Leader,Stronghold,Average Attacker Kills,Average Attacker Wins,Average Defender Kills,Average Defender Wins,Test Run Time
1,1,True,True,False,0.444,0.444,0.556,0.556,11ms
2,1,True,True,False,0.632,0.632,0.368,0.368,15ms
3,1,True,True,False,0.644,0.644,0.356,0.356,16ms
1,2,True,True,False,0.324,0.0  ,0.676,1.0  ,14ms
2,2,True,True,False,0.788,0.248,1.212,0.752,16ms
3,2,True,True,False,1.04 ,0.34 ,0.96 ,0.66 ,20ms
1,1,False,True,False,0.26 ,0.26 ,0.74 ,0.74 ,15ms
2,1,False,True,False,0.412,0.412,0.588,0.588,14ms
3,1,False,True,False,0.412,0.412,0.588,0.588,16ms
1,2,False,True,False,0.152,0.0  ,0.848,1.0  ,15ms
2,2,False,True,False,0.612,0.132,1.388,0.868,17ms
3,2,False,True,False,0.964,0.252,1.036,0.748,16ms
1,1,True,False,False,0.532,0.532,0.468,0.468,16ms
2,1,True,False,False,0.76 ,0.76 ,0.24 ,0.24 ,15ms
3,1,True,False,False,0.816,0.816,0.184,0.184,17ms
1,2,True,False,False,0.408,0.0  ,0.592,1.0  ,14ms
2,2,True,False,False,1.056,0.352,0.944,0.648,15ms
3,2,True,False,False,1.364,0.52 ,0.636,0.48 ,15ms
1,1,False,False,False,0.404,0.404,0.596,0.596,15ms
2,1,False,False,False,0.552,0.552,0.448,0.448,16ms
3,1,False,False,False,0.652,0.652,0.348,0.348,16ms
1,2,False,False,False,0.276,0.0  ,0.724,1.0  ,16ms
2,2,False,False,False,0.732,0.228,1.268,0.772,16ms
3,2,False,False,False,0.988,0.304,1.012,0.696,16ms
1,1,True,True,True,0.228,0.228,0.772,0.772,16ms
2,1,True,True,True,0.444,0.444,0.556,0.556,15ms
3,1,True,True,True,0.524,0.524,0.476,0.476,21ms
1,2,True,True,True,0.136,0.0  ,0.864,1.0  ,14ms
2,2,True,True,True,0.6  ,0.16 ,1.4  ,0.84 ,49ms
3,2,True,True,True,0.804,0.18 ,1.196,0.82 ,53ms
1,1,False,True,True,0.168,0.168,0.832,0.832,38ms
2,1,False,True,True,0.276,0.276,0.724,0.724,21ms
3,1,False,True,True,0.368,0.368,0.632,0.632,14ms
1,2,False,True,True,0.056,0.0  ,0.944,1.0  ,13ms
2,2,False,True,True,0.508,0.096,1.492,0.904,13ms
3,2,False,True,True,0.82 ,0.152,1.18 ,0.848,15ms
1,1,True,False,True,0.38 ,0.38 ,0.62 ,0.62 ,13ms
2,1,True,False,True,0.564,0.564,0.436,0.436,12ms
3,1,True,False,True,0.676,0.676,0.324,0.324,10ms
1,2,True,False,True,0.272,0.0  ,0.728,1.0  ,13ms
2,2,True,False,True,0.828,0.264,1.172,0.736,14ms
3,2,True,False,True,1.132,0.372,0.868,0.628,12ms
1,1,False,False,True,0.264,0.264,0.736,0.736,12ms
2,1,False,False,True,0.408,0.408,0.592,0.592,13ms
3,1,False,False,True,0.5  ,0.5  ,0.5  ,0.5  ,10ms
1,2,False,False,True,0.132,0.0  ,0.868,1.0  ,14ms
2,2,False,False,True,0.616,0.14 ,1.384,0.86 ,16ms
3,2,False,False,True,0.96 ,0.272,1.04 ,0.728,14ms
