Attackers,Defenders,Attacker Leader,Defender Leader,Stronghold,Average Attacker Kills,Average Attacker Wins,Average Defender Kills,Average Defender Wins,Test Run Time
1,1,True,True,False,0.48 ,0.48 ,0.52 ,0.52 ,5ms
2,1,True,True,False,0.55 ,0.55 ,0.45 ,0.45 ,4ms
3,1,True,True,False,0.7  ,0.7  ,0.3  ,0.3  ,8ms
1,2,True,True,False,0.25 ,0.0  ,0.75 ,1.0  ,5ms
2,2,True,True,False,0.79 ,0.18 ,1.21 ,0.82 ,9ms
3,2,True,True,False,1.04 ,0.32 ,0.96 ,0.68 ,4ms
1,1,False,True,False,0.33 ,0.33 ,0.67 ,0.67 ,10ms
2,1,False,True,False,0.45 ,0.45 ,0.55 ,0.55 ,5ms
3,1,False,True,False,0.52 ,0.52 ,0.48 ,0.48 ,8ms
1,2,False,True,False,0.2  ,0.0  ,0.8  ,1.0  ,4ms
2,2,False,True,False,0.61 ,0.15 ,1.39 ,0.85 ,3ms
3,2,False,True,False,0.87 ,0.22 ,1.13 ,0.78 ,7ms
1,1,True,False,False,0.62 ,0.62 ,0.38 ,0.38 ,4ms
2,1,True,False,False,0.8  ,0.8  ,0.2  ,0.2  ,3ms
3,1,True,False,False,0.85 ,0.85 ,0.15 ,0.15 ,8ms
1,2,True,False,False,0.47 ,0.0  ,0.53 ,1.0  ,4ms
2,2,True,False,False,0.99 ,0.28 ,1.01 ,0.72 ,4ms
3,2,True,False,False,1.34 ,0.53 ,0.66 ,0.47 ,8ms
1,1,False,False,False,0.35 ,0.35 ,0.65 ,0.65 ,3ms
2,1,False,False,False,0.51 ,0.51 ,0.49 ,0.49 ,3ms
3,1,False,False,False,0.64 ,0.64 ,0.36 ,0.36 ,7ms
1,2,False,False,False,0.34 ,0.0  ,0.66 ,1.0  ,3ms
2,2,False,False,False,0.76 ,0.23 ,1.24 ,0.77 ,3ms
3,2,False,False,False,1.14 ,0.42 ,0.86 ,0.58 ,7ms
1,1,True,True,True,0.33 ,0.33 ,0.67 ,0.67 ,4ms
2,1,True,True,True,0.43 ,0.43 ,0.57 ,0.57 ,14ms
3,1,True,True,True,0.48 ,0.48 ,0.52 ,0.52 ,20ms
1,2,True,True,True,0.16 ,0.0  ,0.84 ,1.0  ,12ms
2,2,True,True,True,0.58 ,0.16 ,1.42 ,0.84 ,15ms
3,2,True,True,True,0.91 ,0.24 ,1.09 ,0.76 ,19ms
1,1,False,True,True,0.13 ,0.13 ,0.87 ,0.87 ,10ms
2,1,False,True,True,0.37 ,0.37 ,0.63 ,0.63 ,20ms
3,1,False,True,True,0.29 ,0.29 ,0.71 ,0.71 ,5ms
1,2,False,True,True,0.04 ,0.0  ,0.96 ,1.0  ,4ms
2,2,False,True,True,0.47 ,0.08 ,1.53 ,0.92 ,10ms
3,2,False,True,True,0.68 ,0.11 ,1.32 ,0.89 ,6ms
1,1,True,False,True,0.45 ,0.45 ,0.55 ,0.55 ,8ms
2,1,True,False,True,0.47 ,0.47 ,0.53 ,0.53 ,4ms
3,1,True,False,True,0.65 ,0.65 ,0.35 ,0.35 ,8ms
1,2,True,False,True,0.28 ,0.0  ,0.72 ,1.0  ,4ms
2,2,True,False,True,0.83 ,0.23 ,1.17 ,0.77 ,3ms
3,2,True,False,True,1.09 ,0.38 ,0.91 ,0.62 ,6ms
1,1,False,False,True,0.28 ,0.28 ,0.72 ,0.72 ,3ms
2,1,False,False,True,0.45 ,0.45 ,0.55 ,0.55 ,3ms
3,1,False,False,True,0.51 ,0.51 ,0.49 ,0.49 ,6ms
1,2,False,False,True,0.18 ,0.0  ,0.82 ,1.0  ,3ms
2,2,False,False,True,0.76 ,0.17 ,1.24 ,0.83 ,3ms
3,2,False,False,True,0.94 ,0.28 ,1.06 ,0.72 ,8ms
