Attackers,Defenders,Attacker Leader,Defender Leader,Stronghold,Average Attacker Kills,Average Attacker Wins,Average Defender Kills,Average Defender Wins,Test Run Time
1,1,True,True,False,0.4  ,0.4  ,0.6  ,0.6  ,2ms
2,1,True,True,False,0.6  ,0.6  ,0.4  ,0.4  ,2ms
3,1,True,True,False,0.64 ,0.64 ,0.36 ,0.36 ,1ms
1,2,True,True,False,0.18 ,0.0  ,0.82 ,1.0  ,3ms
2,2,True,True,False,0.76 ,0.2  ,1.24 ,0.8  ,6ms
3,2,True,True,False,1.16 ,0.46 ,0.84 ,0.54 ,2ms
1,1,False,True,False,0.3  ,0.3  ,0.7  ,0.7  ,2ms
2,1,False,True,False,0.46 ,0.46 ,0.54 ,0.54 ,1ms
3,1,False,True,False,0.52 ,0.52 ,0.48 ,0.48 ,2ms
1,2,False,True,False,0.1  ,0.0  ,0.9  ,1.0  ,6ms
2,2,False,True,False,0.56 ,0.16 ,1.44 ,0.84 ,2ms
3,2,False,True,False,1.08 ,0.38 ,0.92 ,0.62 ,3ms
1,1,True,False,False,0.56 ,0.56 ,0.44 ,0.44 ,7ms
2,1,True,False,False,0.78 ,0.78 ,0.22 ,0.22 ,2ms
3,1,True,False,False,0.86 ,0.86 ,0.14 ,0.14 ,1ms
1,2,True,False,False,0.54 ,0.0  ,0.46 ,1.0  ,2ms
2,2,True,False,False,0.98 ,0.3  ,1.02 ,0.7  ,2ms
3,2,True,False,False,1.34 ,0.52 ,0.66 ,0.48 ,5ms
1,1,False,False,False,0.44 ,0.44 ,0.56 ,0.56 ,1ms
2,1,False,False,False,0.44 ,0.44 ,0.56 ,0.56 ,1ms
3,1,False,False,False,0.6  ,0.6  ,0.4  ,0.4  ,1ms
1,2,False,False,False,0.36 ,0.0  ,0.64 ,1.0  ,2ms
2,2,False,False,False,0.88 ,0.3  ,1.12 ,0.7  ,6ms
3,2,False,False,False,1.04 ,0.32 ,0.96 ,0.68 ,2ms
1,1,True,True,True,0.36 ,0.36 ,0.64 ,0.64 ,2ms
2,1,True,True,True,0.34 ,0.34 ,0.66 ,0.66 ,1ms
3,1,True,True,True,0.36 ,0.36 ,0.64 ,0.64 ,2ms
1,2,True,True,True,0.18 ,0.0  ,0.82 ,1.0  ,1ms
2,2,True,True,True,0.54 ,0.12 ,1.46 ,0.88 ,6ms
3,2,True,True,True,0.86 ,0.24 ,1.14 ,0.76 ,2ms
1,1,False,True,True,0.12 ,0.12 ,0.88 ,0.88 ,1ms
2,1,False,True,True,0.36 ,0.36 ,0.64 ,0.64 ,1ms
3,1,False,True,True,0.4  ,0.4  ,0.6  ,0.6  ,2ms
1,2,False,True,True,0.04 ,0.0  ,0.96 ,1.0  ,7ms
2,2,False,True,True,0.44 ,0.02 ,1.56 ,0.98 ,1ms
3,2,False,True,True,0.76 ,0.16 ,1.24 ,0.84 ,2ms
1,1,True,False,True,0.4  ,0.4  ,0.6  ,0.6  ,1ms
2,1,True,False,True,0.56 ,0.56 ,0.44 ,0.44 ,5ms
3,1,True,False,True,0.66 ,0.66 ,0.34 ,0.34 ,1ms
1,2,True,False,True,0.34 ,0.0  ,0.66 ,1.0  ,1ms
2,2,True,False,True,0.8  ,0.22 ,1.2  ,0.78 ,2ms
3,2,True,False,True,1.08 ,0.32 ,0.92 ,0.68 ,1ms
1,1,False,False,True,0.24 ,0.24 ,0.76 ,0.76 ,2ms
2,1,False,False,True,0.54 ,0.54 ,0.46 ,0.46 ,8ms
3,1,False,False,True,0.46 ,0.46 ,0.54 ,0.54 ,1ms
1,2,False,False,True,0.14 ,0.0  ,0.86 ,1.0  ,2ms
2,2,False,False,True,0.6  ,0.14 ,1.4  ,0.86 ,1ms
3,2,False,False,True,0.86 ,0.24 ,1.14 ,0.76 ,5ms
