Attackers,Defenders,Attacker Leader,Defender Leader,Stronghold,Average Attacker Kills,Average Attacker Wins,Average Defender Kills,Average Defender Wins,Test Run Time
1,1,True,True,False,0.48 ,0.48 ,0.52 ,0.52 ,1ms
2,1,True,True,False,0.52 ,0.52 ,0.48 ,0.48 ,0ms
3,1,True,True,False,0.68 ,0.68 ,0.32 ,0.32 ,1ms
1,2,True,True,False,0.24 ,0.0  ,0.76 ,1.0  ,1ms
2,2,True,True,False,0.84 ,0.24 ,1.16 ,0.76 ,1ms
3,2,True,True,False,0.84 ,0.24 ,1.16 ,0.76 ,1ms
1,1,False,True,False,0.44 ,0.44 ,0.56 ,0.56 ,7ms
2,1,False,True,False,0.44 ,0.44 ,0.56 ,0.56 ,0ms
3,1,False,True,False,0.32 ,0.32 ,0.68 ,0.68 ,1ms
1,2,False,True,False,0.2  ,0.0  ,0.8  ,1.0  ,1ms
2,2,False,True,False,0.56 ,0.08 ,1.44 ,0.92 ,1ms
3,2,False,True,False,1.12 ,0.32 ,0.88 ,0.68 ,1ms
1,1,True,False,False,0.56 ,0.56 ,0.44 ,0.44 ,1ms
2,1,True,False,False,0.76 ,0.76 ,0.24 ,0.24 ,5ms
3,1,True,False,False,0.72 ,0.72 ,0.28 ,0.28 ,1ms
1,2,True,False,False,0.32 ,0.0  ,0.68 ,1.0  ,0ms
2,2,True,False,False,0.88 ,0.2  ,1.12 ,0.8  ,0ms
3,2,True,False,False,1.28 ,0.48 ,0.72 ,0.52 ,1ms
1,1,False,False,False,0.28 ,0.28 ,0.72 ,0.72 ,1ms
2,1,False,False,False,0.68 ,0.68 ,0.32 ,0.32 ,0ms
3,1,False,False,False,0.48 ,0.48 ,0.52 ,0.52 ,1ms
1,2,False,False,False,0.24 ,0.0  ,0.76 ,1.0  ,1ms
2,2,False,False,False,0.56 ,0.12 ,1.44 ,0.88 ,5ms
3,2,False,False,False,1.08 ,0.36 ,0.92 ,0.64 ,1ms
1,1,True,True,True,0.48 ,0.48 ,0.52 ,0.52 ,1ms
2,1,True,True,True,0.52 ,0.52 ,0.48 ,0.48 ,1ms
3,1,True,True,True,0.4  ,0.4  ,0.6  ,0.6  ,1ms
1,2,True,True,True,0.2  ,0.0  ,0.8  ,1.0  ,0ms
2,2,True,True,True,0.68 ,0.24 ,1.32 ,0.76 ,1ms
3,2,True,True,True,0.92 ,0.28 ,1.08 ,0.72 ,0ms
1,1,False,True,True,0.16 ,0.16 ,0.84 ,0.84 ,1ms
2,1,False,True,True,0.28 ,0.28 ,0.72 ,0.72 ,4ms
3,1,False,True,True,0.44 ,0.44 ,0.56 ,0.56 ,1ms
1,2,False,True,True,0.16 ,0.0  ,0.84 ,1.0  ,1ms
2,2,False,True,True,0.36 ,0.04 ,1.64 ,0.96 ,1ms
3,2,False,True,True,0.92 ,0.2  ,1.08 ,0.8  ,1ms
1,1,True,False,True,0.6  ,0.6  ,0.4  ,0.4  ,0ms
2,1,True,False,True,0.56 ,0.56 ,0.44 ,0.44 ,1ms
3,1,True,False,True,0.64 ,0.64 ,0.36 ,0.36 ,0ms
1,2,True,False,True,0.2  ,0.0  ,0.8  ,1.0  ,0ms
2,2,True,False,True,0.6  ,0.16 ,1.4  ,0.84 ,5ms
3,2,True,False,True,1.04 ,0.4  ,0.96 ,0.6  ,1ms
1,1,False,False,True,0.24 ,0.24 ,0.76 ,0.76 ,1ms
2,1,False,False,True,0.36 ,0.36 ,0.64 ,0.64 ,1ms
3,1,False,False,True,0.4  ,0.4  ,0.6  ,0.6  ,1ms
1,2,False,False,True,0.08 ,0.0  ,0.92 ,1.0  ,1ms
2,2,False,False,True,0.68 ,0.12 ,1.32 ,0.88 ,1ms
3,2,False,False,True,0.92 ,0.28 ,1.08 ,0.72 ,1ms
