Attackers,Defenders,Attacker Leader,Defender Leader,Stronghold,Average Attacker Kills,Average Attacker Wins,Average Defender Kills,Average Defender Wins,Test Run Time
1,1,True,True,False,0.433,0.433,0.566,0.566,173ms
2,1,True,True,False,0.585,0.585,0.414,0.414,183ms
3,1,True,True,False,0.649,0.649,0.35 ,0.35 ,169ms
1,2,True,True,False,0.251,0.0  ,0.748,1.0  ,158ms
2,2,True,True,False,0.746,0.214,1.253,0.786,158ms
3,2,True,True,False,1.072,0.364,0.927,0.635,177ms
1,1,False,True,False,0.283,0.283,0.716,0.716,162ms
2,1,False,True,False,0.417,0.417,0.582,0.582,163ms
3,1,False,True,False,0.506,0.506,0.493,0.493,171ms
1,2,False,True,False,0.139,0.0  ,0.86 ,1.0  ,157ms
2,2,False,True,False,0.607,0.14 ,1.392,0.859,166ms
3,2,False,True,False,0.891,0.24 ,1.108,0.759,157ms
1,1,True,False,False,0.577,0.577,0.422,0.422,169ms
2,1,True,False,False,0.728,0.728,0.271,0.271,164ms
3,1,True,False,False,0.815,0.815,0.184,0.184,170ms
1,2,True,False,False,0.421,0.0  ,0.578,1.0  ,156ms
2,2,True,False,False,1.005,0.317,0.994,0.682,159ms
3,2,True,False,False,1.312,0.511,0.687,0.488,168ms
1,1,False,False,False,0.406,0.406,0.593,0.593,173ms
2,1,False,False,False,0.582,0.582,0.417,0.417,153ms
3,1,False,False,False,0.665,0.665,0.334,0.334,162ms
1,2,False,False,False,0.238,0.0  ,0.761,1.0  ,161ms
2,2,False,False,False,0.762,0.219,1.238,0.78 ,165ms
3,2,False,False,False,1.034,0.348,0.966,0.652,168ms
1,1,True,True,True,0.282,0.282,0.717,0.717,159ms
2,1,True,True,True,0.413,0.413,0.586,0.586,169ms
3,1,True,True,True,0.475,0.475,0.524,0.524,168ms
1,2,True,True,True,0.148,0.0  ,0.851,1.0  ,164ms
2,2,True,True,True,0.604,0.136,1.395,0.863,162ms
3,2,True,True,True,0.872,0.229,1.128,0.77 ,165ms
1,1,False,True,True,0.166,0.166,0.833,0.833,163ms
2,1,False,True,True,0.251,0.251,0.748,0.748,173ms
3,1,False,True,True,0.332,0.332,0.667,0.667,157ms
1,2,False,True,True,0.067,0.0  ,0.932,1.0  ,165ms
2,2,False,True,True,0.516,0.076,1.483,0.923,156ms
3,2,False,True,True,0.741,0.128,1.258,0.871,171ms
1,1,True,False,True,0.407,0.407,0.592,0.592,164ms
2,1,True,False,True,0.576,0.576,0.424,0.424,172ms
3,1,True,False,True,0.666,0.666,0.333,0.333,158ms
1,2,True,False,True,0.25 ,0.0  ,0.749,1.0  ,162ms
2,2,True,False,True,0.774,0.228,1.226,0.771,157ms
3,2,True,False,True,1.098,0.386,0.901,0.613,142ms
1,1,False,False,True,0.268,0.268,0.732,0.732,127ms
2,1,False,False,True,0.411,0.411,0.588,0.588,137ms
3,1,False,False,True,0.485,0.485,0.514,0.514,134ms
1,2,False,False,True,0.141,0.0  ,0.858,1.0  ,129ms
2,2,False,False,True,0.604,0.147,1.395,0.852,135ms
3,2,False,False,True,0.858,0.225,1.141,0.774,138ms
