Attackers,Defenders,Attacker Leader,Defender Leader,Stronghold,Average Attacker Kills,Average Attacker Wins,Average Defender Kills,Average Defender Wins,Test Run Time
1,1,True,True,False,0.416,0.416,0.583,0.583,51390ms
2,1,True,True,False,0.578,0.578,0.421,0.421,55279ms
3,1,True,True,False,0.659,0.659,0.34 ,0.34 ,45654ms
1,2,True,True,False,0.254,0.0  ,0.745,1.0  ,43039ms
2,2,True,True,False,0.778,0.227,1.221,0.772,42262ms
3,2,True,True,False,1.079,0.372,0.92 ,0.627,44150ms
1,1,False,True,False,0.277,0.277,0.722,0.722,40910ms
2,1,False,True,False,0.416,0.416,0.583,0.583,41179ms
3,1,False,True,False,0.493,0.493,0.506,0.506,42841ms
1,2,False,True,False,0.139,0.0  ,0.86 ,1.0  ,41739ms
2,2,False,True,False,0.613,0.147,1.386,0.852,46641ms
3,2,False,True,False,0.887,0.239,1.112,0.76 ,45262ms
1,1,True,False,False,0.583,0.583,0.416,0.416,42761ms
2,1,True,False,False,0.744,0.744,0.255,0.255,43529ms
3,1,True,False,False,0.826,0.826,0.173,0.173,42807ms
1,2,True,False,False,0.42 ,0.0  ,0.579,1.0  ,42249ms
2,2,True,False,False,1.0  ,0.312,0.999,0.687,42313ms
3,2,True,False,False,1.326,0.51 ,0.673,0.489,43476ms
1,1,False,False,False,0.416,0.416,0.583,0.583,41575ms
2,1,False,False,False,0.578,0.578,0.421,0.421,43906ms
3,1,False,False,False,0.659,0.659,0.34 ,0.34 ,46992ms
1,2,False,False,False,0.254,0.0  ,0.745,1.0  ,44659ms
2,2,False,False,False,0.779,0.227,1.22 ,0.772,48473ms
3,2,False,False,False,1.078,0.371,0.921,0.628,77090ms
1,1,True,True,True,0.277,0.277,0.722,0.722,58596ms
2,1,True,True,True,0.416,0.416,0.583,0.583,69528ms
3,1,True,True,True,0.494,0.494,0.505,0.505,65815ms
1,2,True,True,True,0.138,0.0  ,0.861,1.0  ,62793ms
2,2,True,True,True,0.612,0.146,1.387,0.853,47604ms
3,2,True,True,True,0.887,0.239,1.112,0.76 ,48243ms
1,1,False,True,True,0.165,0.165,0.834,0.834,45466ms
2,1,False,True,True,0.268,0.268,0.731,0.731,45651ms
3,1,False,True,True,0.333,0.333,0.666,0.666,46433ms
1,2,False,True,True,0.064,0.0  ,0.935,1.0  ,45566ms
2,2,False,True,True,0.498,0.078,1.501,0.921,46286ms
3,2,False,True,True,0.749,0.128,1.25 ,0.871,47101ms
1,1,True,False,True,0.416,0.416,0.583,0.583,44911ms
2,1,True,False,True,0.578,0.578,0.421,0.421,46001ms
3,1,True,False,True,0.66 ,0.66 ,0.339,0.339,46944ms
1,2,True,False,True,0.254,0.0  ,0.745,1.0  ,45342ms
2,2,True,False,True,0.781,0.228,1.218,0.771,47274ms
3,2,True,False,True,1.079,0.371,0.92 ,0.628,47974ms
1,1,False,False,True,0.278,0.278,0.721,0.721,44458ms
2,1,False,False,True,0.417,0.417,0.582,0.582,45376ms
3,1,False,False,True,0.494,0.494,0.505,0.505,46549ms
1,2,False,False,True,0.138,0.0  ,0.861,1.0  ,45201ms
2,2,False,False,True,0.613,0.146,1.386,0.853,46482ms
3,2,False,False,True,0.887,0.239,1.112,0.76 ,47243ms
